     51  4154.0000    
    112   847.0000    
    189  2063.0000    
    327   636.0000    
    407   985.0000    
    511   872.0000    
    597   480.0000    
    800   732.0000    
    876   873.0000    
    954   411.0000    
   1067   767.0000    
   1140  1226.0000    
   1302  1996.0000    
   1497   569.0000    
   1571  1929.0000    
   1644  1424.0000    
   1805   871.0000    
   1945  2537.0000    
   2027  2758.0000    
   2113  2918.0000    
   2246  2605.0000    
   2352  2208.0000    
   2422  1509.0000    
   2551  1335.0000    
   2664   609.0000    
   2773  3565.0000    
   2848  2631.0000    
   2947   565.0000    
   3018   588.0000    
   3164   523.0000    
   3248  2306.0000    
   3333  4930.0000    
   3497  1489.0000    
   3558   960.0000    
   3719  2458.0000    
   3833   389.0000    
   3920   546.0000    
   4071   236.0000    
   4164  2526.0000    
   4255   826.0000    
   4342  4876.0000    
   4483  3076.0000    
   4614  2285.0000    
   4693  1375.0000    
   4757   343.0000    
   4837  5147.0000    
   5075  1352.0000    
   5175  1109.0000    
   5259  1525.0000    
   5388  1154.0000    
   5467   470.0000    
   5564   279.0000    
   5670   895.0000    
   5804  1360.0000    
   5865  1753.0000    
   5973  1155.0000    
   6057   310.0000    
   6133   637.0000    
   6222   961.0000    
   6392  1766.0000    
   6583  1563.0000    
   6695  1078.0000    
   6900  5164.0000    
   6965  2128.0000    
   7158  1129.0000    
   7371  2649.0000    
   7431  4047.0000    
   7576  2987.0000    
   7712  2855.0000    
   7861   602.0000    
   7969   673.0000    
   8043  2435.0000    
   8107   943.0000    
   8231   456.0000    
   8370  3039.0000    
   8498  1149.0000    
   8617  2860.0000    
   8751  3631.0000    
   8865  2636.0000    
   8985  3930.0000    
